Cruise,Station,Year,Month,Day,Hour,Lat,Long,Pressure_CTD (dbar),Depth (m),Temperatura_CTD (C),Salinidade_CTD (psu),Sound velocity_CTD (m/s),Density_CTD(kg/m3),Prof local (m),Secchi (m),Salinidade (psu),Temperatura (C),pH,pH2,Tph,OD (mg/L),OD (% sat),OD (frasco),pCO2,Cond(mS/cm),Ch4,Metais (ml),N Fil Metais,MPS (mL),MPS (mg/ L),Volume filtrado Chl-a (ml),Chl a (ug/m3),Feo (ug/m3),Clorf-a (ug/m3),Clorf-b (ug/m3),Clorf-c (ug/m3),Clorf-a 2(ug/m3),Clorf-b 2(ug/m3),Clorf-c 2(ug/m3),Carotenoide Diatom (ug/m3),Carotenoide Dinofl (ug/m3)
VLT01,VLT101,2021,10,27,8:35,-23.263967,-44.6263,,1,,,,,7.4,4,32.96,21.55,8.2,8.13,,13.2,74.8,,,,,,,1000,6.7,1000,1.04,0.47,1.4,0.15,0.25,1.3,0.13,0.57,0.71,1.78
VLT01,VLT101,2021,10,27,8:35,-23.263967,-44.6263,,6.4,,,,,7.4,,,,,,,,,,,,,,,750,9.5,750,2.72,0.7,3.2,0.42,0.62,3.2,0.35,1.39,1.88,4.7
VLT01,VLT102,2021,10,27,11:05,-23.263967,-44.6263,,1,,,,,7.18,4.5,,,,,,,,,,,,,,750,9.3,750,1.08,0.53,1.4,0.42,0.67,1.4,0.38,1.49,1.53,3.83
VLT01,VLT103,2021,10,27,14:07,-23.263967,-44.6263,,1,,,,,6.8,3.8,34.7,21.39,8.22,8.14,,5.01,67.1,,444.9,,,,,1000,5.2,750,1.46,0.44,1.8,0.17,0.42,1.7,0.13,0.94,1.12,2.8
VLT01,VLT103,2021,10,27,14:07,-23.263967,-44.6263,,5.8,,,,,6.8,,,,,,,,,,,,,,,750,21.9,580,5.5,2.48,7.3,0.02,0.89,7.1,-0.08,1.98,3.27,8.18
VLT01,VLT104,2021,10,27,17:15,-23.263967,-44.6263,,1,,,,,6.9,4,34.81,21.39,8.22,8.15,,5.17,71.4,,432.1,,,,,2000,2.8,1250,0.82,0.17,1,0.09,0.14,0.9,0.08,0.32,0.63,1.56
VLT01,VLT105,2021,10,27,20:27,-23.263967,-44.6263,,1,,,,,6.7,,33.89,22.11,8.2,8.14,,5.14,71.5,,,,,,,2050,3.5,2000,0.77,0.27,1,0.14,0.15,0.9,0.12,0.33,0.69,1.73
VLT01,VLT105,2021,10,27,20:27,-23.263967,-44.6263,,1,,,,,6.7,,,,,,,,,,,,,,,,,930,0.68,0.28,0.9,0.04,0.06,0.9,0.03,0.14,0.63,1.56
VLT01,VLT105,2021,10,27,20:27,-23.263967,-44.6263,,5.7,,,,,6.7,,,,,,,,,,,,,,,,,960,0.76,0.37,1,0.12,0.19,0.99,0.09,0.44,0.61,1.53
VLT01,VLT106,2021,10,28,23:11,-23.263967,-44.6263,,1,,,,,6.8,,34.19,21.71,8.2,8.08,,5.24,71.8,,460.1,,,,,1500,3,1300,0.74,0.17,0.9,0.08,0.11,0.85,0.06,0.25,0.52,1.3
VLT01,VLT106,2021,10,28,23:11,-23.263967,-44.6263,,1,,,,,6.8,,,,,,,,,,,,,,,,,960,0.57,0.15,0.7,0.04,0.07,0.68,0.03,0.17,0.45,1.14
VLT01,VLT106,2021,10,28,23:11,-23.263967,-44.6263,,5.8,,,,,6.8,,,,,,,,,,,,,,,,,960,0.97,0.31,1.2,0.12,0.16,1.17,0.09,0.37,0.77,1.92
VLT01,VLT107,2021,10,28,2:22,-23.263967,-44.6263,,1,,,,,6.6,,33.07,21.49,8.21,8.1,,5.32,72.2,,457,,,,,1500,5.2,1300,0.72,0.11,0.8,0.08,0.11,0.8,0.06,0.24,0.54,1.36
VLT01,VLT107,2021,10,28,2:22,-23.263967,-44.6263,,1,,,,,6.6,,,,,,,,,,,,,,,,,990,0.89,0.21,1.1,0.11,0.14,1.03,0.08,0.32,0.65,1.63
VLT01,VLT107,2021,10,28,2:22,-23.263967,-44.6263,,5.6,,,,,6.6,,,,,,,,,,,,,,,,,980,1.52,0.37,1.8,0.21,0.37,1.76,0.17,0.83,0.99,2.48
VLT01,VLT108,2021,10,28,5:12,-23.263967,-44.6263,,1,,,,,6.9,5,31.4,21.52,8.2,,,5.24,71,,449,,,,,1500,5.4,1550,1.22,0.15,1.4,0.1,0.24,1.33,0.07,0.54,0.68,1.7
VLT01,VLT108,2021,10,28,5:12,-23.263967,-44.6263,,1,,,,,6.9,,,,,,,,,,,,,,,,,1500,0.58,0.22,0.7,0.05,0.09,0.72,0.04,0.21,0.4,1
VLT01,VLT108,2021,10,28,5:12,-23.263967,-44.6263,,5.9,,,,,6.9,,,,,,,,,,,,,,,,,850,1.8,0.31,2.1,0.11,0.32,2.01,0.08,0.73,1.11,2.77
VLT01,VLT109,2021,10,28,8:01,-23.263967,-44.6263,,1,,,,,6.8,5,32.28,21.56,8.2,8.14,,5.28,71.4,,,,,,,1500,4.9,1500,1.18,0.22,1.4,0.13,0.23,1.33,0.1,0.51,0.79,1.98
VLT01,VLT109,2021,10,28,8:01,-23.263967,-44.6263,,1,,,,,6.8,,,,,,,,,,,,,,,,,830,0.9,0.01,0.9,0.05,0.1,0.92,0.04,0.22,0.42,1.05
VLT01,VLT109,2021,10,28,8:01,-23.263967,-44.6263,,5.8,,,,,6.8,,,,,,,,,,,,,,,,,1020,1.27,0.11,1.4,0.12,0.2,1.35,0.1,0.44,0.82,2.05
VLT01,VLT110,2021,10,29,10:14,-23.21155,-44.5731,,1,,,,,20,7,33.07,21.81,8.24,8.17,,5.68,78,,414,,,,,1500,19.3,1500,0.98,0.05,1.1,0.11,0.12,1.03,0.09,0.27,0.57,1.43
VLT01,VLT110,2021,10,29,10:14,-23.21155,-44.5731,,19,,,,,20,,,,,,,,,,,,,,,1150,5.6,900,2.15,0.77,2.7,0.24,0.45,2.64,0.19,1,1.47,3.68
VLT01,VLT111,2021,10,29,11:08,-23.22795,-44.597433,,1,,,,,14,6,30.14,22.1,8.24,8.2,,5.68,77.1,,423,,,,,1500,3.4,1500,0.99,0.03,1,0.1,0.13,1.02,0.09,0.29,0.57,1.42
VLT01,VLT111,2021,10,29,11:08,-23.22795,-44.597433,,13,,,,,14,,,,,,,,,,,,,,,1000,8.2,1000,2,0.45,2.3,0.24,0.41,2.3,0.2,0.92,1.29,3.23
VLT01,VLT112,2021,10,29,11:58,-23.247033,-44.618083,,1,,,,,10.6,3,29.74,22.04,8.23,8.19,,5.51,74.7,,427,,,,,1500,0,1500,1.09,0.11,1.2,0.1,0.14,1.17,0.08,0.31,0.76,1.91
VLT01,VLT112,2021,10,29,11:58,-23.247033,-44.618083,,9.6,,,,,10.6,,,,,,,,,,,,,,,1500,6.1,1500,1.07,0.39,1.3,0.19,0.22,1.32,0.16,0.5,0.88,2.19
VLT01,VLT113,2021,10,29,15:51,-23.29785,-44.645067,,1,,,,,2.9,1.5,21.11,23.93,7.94,7.96,,5.26,70.3,,677,,,,,800,7.4,1000,3.48,0.67,4,0.18,0.76,3.94,0.12,1.69,2.02,5.04
VLT01,VLT113,2021,10,29,15:51,-23.29785,-44.645067,,2.5,,,,,2.9,,,,,,,,,,,,,,,1000,7,750,3.23,0.85,3.9,0.27,0.76,3.79,0.21,1.7,1.94,4.84
VLT01,VLT114,2021,10,29,16:24,-23.287267,-44.646083,,1,,,,,5.6,2,23.08,23.6,8.09,8.14,,5.46,73,,555,,,,,1200,4.6,1200,2.01,0.16,2.2,0.19,0.34,2.14,0.14,0.77,1.2,3.01
VLT01,VLT114,2021,10,29,16:24,-23.287267,-44.646083,,4.6,,,,,5.6,,,,,,,,,,,,,,,1000,4.6,1200,2.07,0.38,2.4,0.14,0.38,2.34,0.11,0.85,1.26,3.15
VLT01,VLT115,2021,10,29,17:15,-23.271617,-44.634617,,1,,,,,6.7,3,30.23,22.31,8.22,8.19,,5.58,75.9,,437,,,,,1300,3.6,1000,1.31,0.33,1.6,0.16,0.21,1.53,0.13,0.48,1.16,2.91
VLT01,VLT115,2021,10,29,17:15,-23.271617,-44.634617,,5.7,,,,,6.7,,,,,,,,,,,,,,,1750,3.1,1750,0.95,0.16,1.1,0.08,0.17,1.06,0.06,0.39,0.7,1.75
VLT01,VLT116,2021,11,3,8:18,-23.263967,-44.6263,,1,,,,,7.3,3,32.16,21.55,8.13,8.14,,4.82,65.9,,541.8,,,,,1500,3.6,1500,0.98,0.24,1.2,0.11,0.14,1.14,0.09,0.31,0.59,1.48
VLT01,VLT116,2021,11,3,8:18,-23.263967,-44.6263,,1,,,,,7.3,,,,,,,,,,,,,,,,,1500,1.21,0.22,1.4,0.11,0.18,1.36,0.08,0.4,0.79,1.97
VLT01,VLT116,2021,11,3,8:18,-23.263967,-44.6263,,6.3,,,,,7.3,,,,,,,,,,,,,,,750,7.1,750,3.9,0.28,4.2,0.12,0.75,4.15,0.06,1.67,1.79,4.47
VLT01,VLT117,2021,11,3,11:01,-23.263967,-44.6263,,1,,,,,7.9,2.5,31.34,22.81,8.15,8.18,,5.2,72.2,,522.9,,,,,2500,1.5,2500,0.93,0.07,1,0.1,0.11,0.98,0.08,0.26,0.51,1.28
VLT01,VLT117,2021,11,3,11:01,-23.263967,-44.6263,,1,,,,,7.9,,,,,,,,,,,,,,,,,900,2.5,0.26,2.8,0.21,0.27,2.7,0.17,0.62,1.49,3.73
VLT01,VLT117,2021,11,3,11:01,-23.263967,-44.6263,,6.9,,,,,7.9,,,,,,,,,,,,,,,750,6.6,750,3.61,0.55,4.1,0.1,0.77,4.01,0.03,1.71,1.68,4.19
